Title;Authors;IMSDb Page;IMSDb Script Page
Grand Theft Parsons;Jeremy Drysdale;/Movie Scripts/Grand Theft Parsons Script.html;/scripts/Grand-Theft-Parsons.html
Grapes of Wrath, The;Nunnally Johnson;/Movie Scripts/Grapes of Wrath, The Script.html;/scripts/Grapes-of-Wrath,-The.html
Gravity;Alfonso Cuaron,Jonas Cuaron;/Movie Scripts/Gravity Script.html;/scripts/Gravity.html
Great Gatsby, The;Baz Luhrmann,Craig Pearce;/Movie Scripts/Great Gatsby, The Script.html;/scripts/Great-Gatsby,-The.html
Green Mile, The;Stephen King,Frank Darabont;/Movie Scripts/Green Mile, The Script.html;/scripts/Green-Mile,-The.html
Gremlins;Chris Columbus;/Movie Scripts/Gremlins Script.html;/scripts/Gremlins.html
Gremlins 2;Charlie Haas;/Movie Scripts/Gremlins 2 Script.html;/scripts/Gremlins-2.html
Grifters, The;Donald E. Westlake;/Movie Scripts/Grifters, The Script.html;/scripts/Grifters,-The.html
Grosse Point Blank;Tom Jankiewicz, D.V. deVincentis, S.K. Boatman,John Cusack;/Movie Scripts/Grosse Point Blank Script.html;/scripts/Grosse-Point-Blank.html
Groundhog Day;Danny Rubin;/Movie Scripts/Groundhog Day Script.html;/scripts/Groundhog-Day.html
Grudge, The;Stephen Susco;/Movie Scripts/Grudge, The Script.html;/scripts/Grudge,-The.html
Guardians of the Galaxy Vol 2;James Gunn;/Movie Scripts/Guardians of the Galaxy Vol 2 Script.html;/scripts/Guardians-of-the-Galaxy-Vol-2.html
Hackers;Rafael Moreu;/Movie Scripts/Hackers Script.html;/scripts/Hackers.html
Hall Pass;Peter Farrelly,Bobby Farrelly,Kevin Barnett,Pete Jones;/Movie Scripts/Hall Pass Script.html;/scripts/Hall-Pass.html
Halloween;Jeff Fradley,Danny McBride,David Gordon Green;/Movie Scripts/Halloween Script.html;/scripts/Halloween.html
Halloween: The Curse of Michael Myers;Daniel Farrands;/Movie Scripts/Halloween: The Curse of Michael Myers Script.html;/scripts/Halloween-The-Curse-of-Michael-Myers.html
Hancock;Vincent Ngo,Vince Gilligan;/Movie Scripts/Hancock Script.html;/scripts/Hancock.html
Hangover, The;Jon Lucas,Scott Moore;/Movie Scripts/Hangover, The Script.html;/scripts/Hangover,-The.html
Hanna;Seth Lochead;/Movie Scripts/Hanna Script.html;/scripts/Hanna.html
Hannah and Her Sisters;Woody Allen;/Movie Scripts/Hannah and Her Sisters Script.html;/scripts/Hannah-and-Her-Sisters.html
Hannibal;Steven Zaillian;/Movie Scripts/Hannibal Script.html;/scripts/Hannibal.html
Happy Birthday, Wanda June;Kurt Vonnegut Jr.;/Movie Scripts/Happy Birthday, Wanda June Script.html;/scripts/Happy-Birthday,-Wanda-June.html
Happy Feet;George Miller,John Collee;/Movie Scripts/Happy Feet Script.html;/scripts/Happy-Feet.html
Hard Rain;Graham Yost;/Movie Scripts/Hard Rain Script.html;/scripts/Hard-Rain.html
Hard to Kill;Steven Pressfield,Ronald Shusett,Steven Seagal;/Movie Scripts/Hard to Kill Script.html;/scripts/Hard-to-Kill.html
Harold and Kumar Go to White Castle;Jon Hurwitz,Hayden Schlossberg;/Movie Scripts/Harold and Kumar Go to White Castle Script.html;/scripts/Harold-and-Kumar-Go-to-White-Castle.html
Haunting, The;David Self,Michael Tolkin;/Movie Scripts/Haunting, The Script.html;/scripts/Haunting,-The.html
He's Just Not That Into You;Abby Kohn,Marc Silverstein;/Movie Scripts/He's Just Not That Into You Script.html;/scripts/He's-Just-Not-That-Into-You.html
Heat;Michael Mann;/Movie Scripts/Heat Script.html;/scripts/Heat.html
Heathers;Daniel Waters;/Movie Scripts/Heathers Script.html;/scripts/Heathers.html
Heavenly Creatures;Fran Walsh,Peter Jackson;/Movie Scripts/Heavenly Creatures Script.html;/scripts/Heavenly-Creatures.html
Heavy Metal;Dan Goldberg,Len Blum;/Movie Scripts/Heavy Metal Script.html;/scripts/Heavy-Metal.html
Hebrew Hammer, The;Jonathan Kesselman;/Movie Scripts/Hebrew Hammer, The Script.html;/scripts/Hebrew-Hammer,-The.html
Heist;David Mamet;/Movie Scripts/Heist Script.html;/scripts/Heist.html
Hellbound: Hellraiser II;Peter Atkins,Clive Barker;/Movie Scripts/Hellbound: Hellraiser II Script.html;/scripts/Hellbound-Hellraiser-II.html
Hellboy;Mike Mignola,Guillermo del Toro,Peter Briggs;/Movie Scripts/Hellboy Script.html;/scripts/Hellboy.html
Hellboy 2: The Golden Army;Guillermo del Toro;/Movie Scripts/Hellboy 2: The Golden Army Script.html;/scripts/Hellboy-2-The-Golden-Army.html
Hellraiser;Clive Barker;/Movie Scripts/Hellraiser Script.html;/scripts/Hellraiser.html
Hellraiser 3: Hell on Earth;Peter Atkins,Tony Randel;/Movie Scripts/Hellraiser 3: Hell on Earth Script.html;/scripts/Hellraiser-3-Hell-on-Earth.html
Hellraiser: Deader;Clive Barker,Neal Marshall Stevens,Tim Day;/Movie Scripts/Hellraiser: Deader Script.html;/scripts/Hellraiser-Deader.html
Hellraiser: Hellseeker;Carl Dupre,Clive Barker;/Movie Scripts/Hellraiser: Hellseeker Script.html;/scripts/Hellraiser-Hellseeker.html
Help, The;Tate Taylor,Kathryn Stockett;/Movie Scripts/Help, The Script.html;/scripts/Help,-The.html
Henry Fool;Hal Hartley;/Movie Scripts/Henry Fool Script.html;/scripts/Henry-Fool.html
Henry's Crime;Sacha Gervasi;/Movie Scripts/Henry's Crime Script.html;/scripts/Henry's-Crime.html
Her;Spike Jonze;/Movie Scripts/Her Script.html;/scripts/Her.html
Hesher;Spencer Susser,David Michod;/Movie Scripts/Hesher Script.html;/scripts/Hesher.html
High Fidelity;Nick Hornby,D.V. DeVincentis;/Movie Scripts/High Fidelity Script.html;/scripts/High-Fidelity.html
Highlander;Gregory Widen;/Movie Scripts/Highlander Script.html;/scripts/Highlander.html
Highlander: Endgame;Gillian Horvath,William N. Panzer,Joel Soisson;/Movie Scripts/Highlander: Endgame Script.html;/scripts/Highlander-Endgame.html
Hills Have Eyes, The;Alexandre Aja,Gregory Levasseur;/Movie Scripts/Hills Have Eyes, The Script.html;/scripts/Hills-Have-Eyes,-The.html
His Girl Friday;Ben Hecht,Charles MacArthur;/Movie Scripts/His Girl Friday Script.html;/scripts/His-Girl-Friday.html
Hitchcock;John J. McLaughlin,Stephen Rebello;/Movie Scripts/Hitchcock Script.html;/scripts/Hitchcock.html
Hitchhiker's Guide to the Galaxy, The;Douglas Adams;/Movie Scripts/Hitchhiker's Guide to the Galaxy, The Script.html;/scripts/Hitchhiker's-Guide-to-the-Galaxy,-The.html
Hollow Man;Gary Scott Thompson,Andrew W. Marlowe;/Movie Scripts/Hollow Man Script.html;/scripts/Hollow-Man.html
Honeydripper;John Sayles;/Movie Scripts/Honeydripper Script.html;/scripts/Honeydripper.html
Horrible Bosses;Michael Markowitz;/Movie Scripts/Horrible Bosses Script.html;/scripts/Horrible-Bosses.html
Horse Whisperer, The;Eric Roth;/Movie Scripts/Horse Whisperer, The Script.html;/scripts/Horse-Whisperer,-The.html
Hospital, The;Paddy Chayefsky;/Movie Scripts/Hospital, The Script.html;/scripts/Hospital,-The.html
Hostage;Robert Crais;/Movie Scripts/Hostage Script.html;/scripts/Hostage.html
Hot Tub Time Machine;Josh Heald;/Movie Scripts/Hot Tub Time Machine Script.html;/scripts/Hot-Tub-Time-Machine.html
Hotel Rwanda;Keir Pearson,Terry George;/Movie Scripts/Hotel Rwanda Script.html;/scripts/Hotel-Rwanda.html
House of 1000 Corpses;Rob Zombie;/Movie Scripts/House of 1000 Corpses Script.html;/scripts/House-of-1000-Corpses.html
How to Lose Friends & Alienate People;Peter Straughan;/Movie Scripts/How to Lose Friends & Alienate People Script.html;/scripts/How-to-Lose-Friends-&-Alienate-People.html
How to Train Your Dragon;Dean DeBlois,Chris Sanders;/Movie Scripts/How to Train Your Dragon Script.html;/scripts/How-to-Train-Your-Dragon.html
How to Train Your Dragon 2;Dean DeBlois,Cressida Cowell;/Movie Scripts/How to Train Your Dragon 2 Script.html;/scripts/How-to-Train-Your-Dragon-2.html
Hudson Hawk;Steven E. De Souza,Daniel Waters;/Movie Scripts/Hudson Hawk Script.html;/scripts/Hudson-Hawk.html
Hudsucker Proxy, The;Joel Coen,Ethan Coen,Sam Raimi;/Movie Scripts/Hudsucker Proxy, The Script.html;/scripts/Hudsucker-Proxy,-The.html
Human Nature;Charlie Kaufman;/Movie Scripts/Human Nature Script.html;/scripts/Human-Nature.html
Hunt for Red October, The;Larry Ferguson,Tom Clancy;/Movie Scripts/Hunt for Red October, The Script.html;/scripts/Hunt-for-Red-October,-The.html
Hurt Locker, The;Mark Boal,Kathryn Bigelow;/Movie Scripts/Hurt Locker, The Script.html;/scripts/Hurt-Locker,-The.html
I Am Number Four;Alfred Gough,Miles Millar;/Movie Scripts/I Am Number Four Script.html;/scripts/I-Am-Number-Four.html
I am Sam;Kristine Johnson,Jessie Nelson;/Movie Scripts/I am Sam Script.html;/scripts/I-am-Sam.html
I Love You Phillip Morris;Glenn Ficarra,John Requa;/Movie Scripts/I Love You Phillip Morris Script.html;/scripts/I-Love-You-Phillip-Morris.html
I Spit on Your Grave;Adam Rockoff;/Movie Scripts/I Spit on Your Grave Script.html;/scripts/I-Spit-on-Your-Grave.html
I Still Know What You Did Last Summer;Trey Callaway;/Movie Scripts/I Still Know What You Did Last Summer Script.html;/scripts/I-Still-Know-What-You-Did-Last-Summer.html
I'll Do Anything;James L. Brooks;/Movie Scripts/I'll Do Anything Script.html;/scripts/I'll-Do-Anything.html
I, Robot;Hillary Seitz;/Movie Scripts/I, Robot Script.html;/scripts/I,-Robot.html
Ice Storm, The;James Schamus;/Movie Scripts/Ice Storm, The Script.html;/scripts/Ice-Storm,-The.html
Ides of March, The;George Clooney,Grant Heslov,Beau Willimon;/Movie Scripts/Ides of March, The Script.html;/scripts/Ides-of-March,-The.html
Imaginarium of Doctor Parnassus, The;Terry McKeown,Charles Gilliam;/Movie Scripts/Imaginarium of Doctor Parnassus, The Script.html;/scripts/Imaginarium-of-Doctor-Parnassus,-The.html
In the Bedroom;Robert Festinger,Todd Field;/Movie Scripts/In the Bedroom Script.html;/scripts/In-the-Bedroom.html
In the Loop;Jesse Armstrong,Simon Blackwell,Armando Iannucci,Tony Roche;/Movie Scripts/In the Loop Script.html;/scripts/In-the-Loop.html
Inception;Christopher Nolan;/Movie Scripts/Inception Script.html;/scripts/Inception.html
Incredibles, The;Brad Bird;/Movie Scripts/Incredibles, The Script.html;/scripts/Incredibles,-The.html
Independence Day;Dean Devlin,Roland Emmerich;/Movie Scripts/Independence Day Script.html;/scripts/Independence-Day.html
Indiana Jones and the Last Crusade;George Lucas,Philip Kaufman,Menno Meyjes,Jeffrey Boam;/Movie Scripts/Indiana Jones and the Last Crusade Script.html;/scripts/Indiana-Jones-and-the-Last-Crusade.html
Indiana Jones and the Raiders of the Lost Ark;George Lucas,Philip Kaufman,Lawrence Kasda;/Movie Scripts/Indiana Jones and the Raiders of the Lost Ark Script.html;/scripts/Indiana-Jones-and-the-Raiders-of-the-Lost-Ark.html
Indiana Jones and the Temple of Doom;George Lucas,Willard Huyck,Gloria Katz;/Movie Scripts/Indiana Jones and the Temple of Doom Script.html;/scripts/Indiana-Jones-and-the-Temple-of-Doom.html
Indiana Jones IV;Christopher Columbus;/Movie Scripts/Indiana Jones IV Script.html;/scripts/Indiana-Jones-IV.html
Informant, The;Scott Z. Burns,Kurt Eichenwald;/Movie Scripts/Informant, The Script.html;/scripts/Informant,-The.html
Inglourious Basterds;Quentin Tarantino;/Movie Scripts/Inglourious Basterds Script.html;/scripts/Inglourious-Basterds.html
Insider, The;Eric Roth,Michael Mann;/Movie Scripts/Insider, The Script.html;/scripts/Insider,-The.html
Insidious;Leigh Whannell;/Movie Scripts/Insidious Script.html;/scripts/Insidious.html
Insomnia;Hilary Seitz;/Movie Scripts/Insomnia Script.html;/scripts/Insomnia.html
Interstellar;Jonathan Nolan;/Movie Scripts/Interstellar Script.html;/scripts/Interstellar.html
Interview with the Vampire;Anne Rice,Neil Jordan;/Movie Scripts/Interview with the Vampire Script.html;/scripts/Interview-with-the-Vampire.html
Into the Wild;Sean Penn,Jon Krakauer;/Movie Scripts/Into the Wild Script.html;/scripts/Into-the-Wild.html
Into the Woods;James Lapine,Stephen Sondheim;/Movie Scripts/Into the Woods Script.html;/scripts/Into-the-Woods.html
Intolerable Cruelty;Matthew Stone,John Romano,Robert Ramsey,Ethan Coen,Joel Coen;/Movie Scripts/Intolerable Cruelty Script.html;/scripts/Intolerable-Cruelty.html
Inventing the Abbotts;Ken Hixon;/Movie Scripts/Inventing the Abbotts Script.html;/scripts/Inventing-the-Abbotts.html
Invention of Lying, The;Ricky Gervais,Matthew Robinson;/Movie Scripts/Invention of Lying, The Script.html;/scripts/Invention-of-Lying,-The.html
Invictus;Anthony Peckham;/Movie Scripts/Invictus Script.html;/scripts/Invictus.html
Iron Lady, The;Abi Morgan;/Movie Scripts/Iron Lady, The Script.html;/scripts/Iron-Lady,-The.html
Island, The;Caspian Tredwell-Owen;/Movie Scripts/Island, The Script.html;/scripts/Island,-The.html
It;Chase Palmer,Cary Fukunaga;/Movie Scripts/It Script.html;/scripts/It.html
It Happened One Night;Samuel Hopkins Adams,Robert Riskin;/Movie Scripts/It Happened One Night Script.html;/scripts/It-Happened-One-Night.html
It Happened One Night;Samuel Hopkins Adams,Robert Riskin;/Movie Scripts/It Happened One Night Script.html;/scripts/It-Happened-One-Night.html
It's a Wonderful Life;Frank Capra,Frances Goodrich,Albert Hackett,Jo Swerling;/Movie Scripts/It's a Wonderful Life Script.html;/scripts/It's-a-Wonderful-Life.html
It's Complicated;Nancy Meyers;/Movie Scripts/It's Complicated Script.html;/scripts/It's-Complicated.html
Italian Job, The;Donna Powers,Wayne Powers,Troy Kennedy-Martin;/Movie Scripts/Italian Job, The Script.html;/scripts/Italian-Job,-The.html
Jacket, The;Marc Rocco,Tom Bleecker,Massy Tadjedin;/Movie Scripts/Jacket, The Script.html;/scripts/Jacket,-The.html
Jackie Brown;Quentin Tarantino;/Movie Scripts/Jackie Brown Script.html;/scripts/Jackie-Brown.html
Jacob's Ladder;Bruce Joel Rubin;/Movie Scripts/Jacob's Ladder Script.html;/scripts/Jacob's-Ladder.html
Jane Eyre;Moira Buffini;/Movie Scripts/Jane Eyre Script.html;/scripts/Jane-Eyre.html
Jason X;Todd Farmer;/Movie Scripts/Jason X Script.html;/scripts/Jason-X.html
Jaws;Peter Benchley,Carl Gottlieb;/Movie Scripts/Jaws Script.html;/scripts/Jaws.html
Jaws 2;Carl Gottlieb,Howard Sackler;/Movie Scripts/Jaws 2 Script.html;/scripts/Jaws-2.html
Jay and Silent Bob Strike Back;Kevin Smith;/Movie Scripts/Jay and Silent Bob Strike Back Script.html;/scripts/Jay-and-Silent-Bob-Strike-Back.html
Jennifer Eight;Bruce Robinson;/Movie Scripts/Jennifer Eight Script.html;/scripts/Jennifer-Eight.html
Jennifer's Body;Diablo Cody;/Movie Scripts/Jennifer's Body Script.html;/scripts/Jennifer's-Body.html
Jerry Maguire;Cameron Crowe;/Movie Scripts/Jerry Maguire Script.html;/scripts/Jerry-Maguire.html
Jeux Interdits;Jean Aurenche,Pierre Bost,François Boyer,René Clément;/Movie Scripts/Jeux Interdits Script.html;/scripts/Jeux-Interdits.html
JFK;Jim Marrs,Jim Garrison,Oliver Stone,Zachary Sklar;/Movie Scripts/JFK Script.html;/scripts/JFK.html
Jimmy and Judy;Randall Rubin,Jon Schroder;/Movie Scripts/Jimmy and Judy Script.html;/scripts/Jimmy-and-Judy.html
John Q;James Kearns;/Movie Scripts/John Q Script.html;/scripts/John-Q.html
John Wick;Derek Kolstad;/Movie Scripts/John Wick Script.html;/scripts/John-Wick.html
Joker;Todd Phillips,Scott Silver;/Movie Scripts/Joker Script.html;/scripts/Joker.html
Judge Dredd;Steven E. de Souza;/Movie Scripts/Judge Dredd Script.html;/scripts/Judge-Dredd.html
Juno;Diablo Cody;/Movie Scripts/Juno Script.html;/scripts/Juno.html
Jurassic Park;David Koepp;/Movie Scripts/Jurassic Park Script.html;/scripts/Jurassic-Park.html
Jurassic Park III;Peter Buchman,Alexander Payne,John August,Jim Taylor;/Movie Scripts/Jurassic Park III Script.html;/scripts/Jurassic-Park-III.html
Jurassic Park: The Lost World;David Koepp;/Movie Scripts/Jurassic Park: The Lost World Script.html;/scripts/Jurassic-Park-The-Lost-World.html
Kafka;Lem Dobbs;/Movie Scripts/Kafka Script.html;/scripts/Kafka.html
Kalifornia;Tim Metcalfe;/Movie Scripts/Kalifornia Script.html;/scripts/Kalifornia.html
Kate & Leopold;James Mangold,Steven Rogers;/Movie Scripts/Kate & Leopold Script.html;/scripts/Kate-&-Leopold.html
Kids;Larry Clark,Harmony Korine;/Movie Scripts/Kids Script.html;/scripts/Kids.html
Kids Are All Right, The;Lisa Cholodenko,Stuart Blumberg;/Movie Scripts/Kids Are All Right, The Script.html;/scripts/Kids-Are-All-Right,-The.html
Kill Bill Volume 1 & 2;Quentin Tarantino;/Movie Scripts/Kill Bill Volume 1 & 2 Script.html;/scripts/Kill-Bill-Volume-1-&-2.html
Kill Your Darlings;John Krokidas,Austin Bunn;/Movie Scripts/Kill Your Darlings Script.html;/scripts/Kill-Your-Darlings.html
Killing Zoe;Roger Avary;/Movie Scripts/Killing Zoe Script.html;/scripts/Killing-Zoe.html
King Kong;Fran Walsh,Philippa Boyens,Peter Jackson;/Movie Scripts/King Kong Script.html;/scripts/King-Kong.html
King of Comedy, The;Paul D. Zimmerman;/Movie Scripts/King of Comedy, The Script.html;/scripts/King-of-Comedy,-The.html
King's Speech, The;David Seidler;/Movie Scripts/King's Speech, The Script.html;/scripts/King's-Speech,-The.html
Kingdom, The;Matthew Michael Carnahan;/Movie Scripts/Kingdom, The Script.html;/scripts/Kingdom,-The.html
Klute;Andy Lewis,David Lewis;/Movie Scripts/Klute Script.html;/scripts/Klute.html
Knocked Up;Judd Apatow;/Movie Scripts/Knocked Up Script.html;/scripts/Knocked-Up.html
Kramer vs Kramer;Robert Benton;/Movie Scripts/Kramer vs Kramer Script.html;/scripts/Kramer-vs-Kramer.html
Kundun;Melissa Mathison;/Movie Scripts/Kundun Script.html;/scripts/Kundun.html
Kung Fu Panda;Jonathan Aibel,Glenn Berger;/Movie Scripts/Kung Fu Panda Script.html;/scripts/Kung-Fu-Panda.html
L.A. Confidential;Brian Helgeland;/Movie Scripts/L.A. Confidential Script.html;/scripts/L.A.-Confidential.html
La La Land;Damien Chazelle;/Movie Scripts/La La Land Script.html;/scripts/La-La-Land.html
Labor of Love;M. Night Shyamalan;/Movie Scripts/Labor of Love Script.html;/scripts/Labor-of-Love.html
Labyrinth;Dennis Lee,Jim Henson,Terry Jones,Elaine May;/Movie Scripts/Labyrinth Script.html;/scripts/Labyrinth.html
Ladykillers, The;William Rose,Joel Coen,Ethan Coen;/Movie Scripts/Ladykillers, The Script.html;/scripts/Ladykillers,-The.html
Lake Placid;David E Kelley;/Movie Scripts/Lake Placid Script.html;/scripts/Lake-Placid.html
Land of the Dead;George A. Romero;/Movie Scripts/Land of the Dead Script.html;/scripts/Land-of-the-Dead.html
Larry Crowne;Tom Hanks;/Movie Scripts/Larry Crowne Script.html;/scripts/Larry-Crowne.html
Last Boy Scout, The;Shane Black;/Movie Scripts/Last Boy Scout, The Script.html;/scripts/Last-Boy-Scout,-The.html
Last Chance Harvey;Joel Hopkins;/Movie Scripts/Last Chance Harvey Script.html;/scripts/Last-Chance-Harvey.html
Last Flight, The;John Monk Saunders;/Movie Scripts/Last Flight, The Script.html;/scripts/Last-Flight,-The.html
Last of the Mohicans, The;Michael Mann,Christopher Crowe;/Movie Scripts/Last of the Mohicans, The Script.html;/scripts/Last-of-the-Mohicans,-The.html
Last Samurai, The;John Logan,Edward Zwick,Marshall Herskovitz;/Movie Scripts/Last Samurai, The Script.html;/scripts/Last-Samurai,-The.html
Last Station, The;Michael Hoffman,Jan Parini;/Movie Scripts/Last Station, The Script.html;/scripts/Last-Station,-The.html
Last Tango in Paris;Bernardo Bertolucci,Franco Arcalli;/Movie Scripts/Last Tango in Paris Script.html;/scripts/Last-Tango-in-Paris.html
Law Abiding Citizen;Frank Darabont,Kurt Wimmer;/Movie Scripts/Law Abiding Citizen Script.html;/scripts/Law-Abiding-Citizen.html
Le Diable par la Queue;Daniel Boulanger,Claude Sautet;/Movie Scripts/Le Diable par la Queue Script.html;/scripts/Le-Diable-par-la-Queue.html
Leaving Las Vegas;Mike Figgis,John O'Brian;/Movie Scripts/Leaving Las Vegas Script.html;/scripts/Leaving-Las-Vegas.html
Legally Blonde;Karen McCullah Lutz,Kirsten Smith;/Movie Scripts/Legally Blonde Script.html;/scripts/Legally-Blonde.html
Legend;William Hjortsberg;/Movie Scripts/Legend Script.html;/scripts/Legend.html
Legion;Peter Schink,Scott Stewart;/Movie Scripts/Legion Script.html;/scripts/Legion.html
LEGO Movie, The;Chris Miller,Phil Lord;/Movie Scripts/LEGO Movie, The Script.html;/scripts/LEGO-Movie,-The.html
Les Miserables;William Nicholson,Alain Boublil,Claude- Michel Schonberg,Herbert Kretzmer;/Movie Scripts/Les Miserables Script.html;/scripts/Les-Miserables.html
Les Tontons Flingueurs;Michel Audiard,Georges Lautner,Albert Simonin;/Movie Scripts/Les Tontons Flingueurs Script.html;/scripts/Les-Tontons-Flingueurs.html
Leviathan;David Peoples,Jeb Stuart;/Movie Scripts/Leviathan Script.html;/scripts/Leviathan.html
Liar Liar;Tom Shadyac,Mike Binder;/Movie Scripts/Liar Liar Script.html;/scripts/Liar-Liar.html
Life;Robert Ramsey,Matthew Stone;/Movie Scripts/Life Script.html;/scripts/Life.html
Life As A House;Mark Andrus;/Movie Scripts/Life As A House Script.html;/scripts/Life-As-A-House.html
Life of David Gale, The;Charles Randolph;/Movie Scripts/Life of David Gale, The Script.html;/scripts/Life-of-David-Gale,-The.html
Life of Pi;David Magee,Yann Martel;/Movie Scripts/Life of Pi Script.html;/scripts/Life-of-Pi.html
Light Sleeper;Paul Schrader;/Movie Scripts/Light Sleeper Script.html;/scripts/Light-Sleeper.html
Limey, The;Lem Dobbs;/Movie Scripts/Limey, The Script.html;/scripts/Limey,-The.html
Limitless;Leslie Dixon;/Movie Scripts/Limitless Script.html;/scripts/Limitless.html
Lincoln;Tony Kushner;/Movie Scripts/Lincoln Script.html;/scripts/Lincoln.html
Lincoln Lawyer, The;John Romano,Michael Connelly;/Movie Scripts/Lincoln Lawyer, The Script.html;/scripts/Lincoln-Lawyer,-The.html
Little Athens;Jeff Zuber,Tom Zuber;/Movie Scripts/Little Athens Script.html;/scripts/Little-Athens.html
Little Men;Ira Sachs,Mauricio Zacharias;/Movie Scripts/Little Men Script.html;/scripts/Little-Men.html
Little Mermaid, The;Roger Allers,Hans Christian Andersen,Howard Ashman,Ron Clements,John Musker;/Movie Scripts/Little Mermaid, The Script.html;/scripts/Little-Mermaid,-The.html
Little Nicky;Tim Herlihy,Adam Sandler,Steven Brill;/Movie Scripts/Little Nicky Script.html;/scripts/Little-Nicky.html
Living in Oblivion;Tom DiCillo;/Movie Scripts/Living in Oblivion Script.html;/scripts/Living-in-Oblivion.html
Lock, Stock and Two Smoking Barrels;Guy Ritchie;/Movie Scripts/Lock, Stock and Two Smoking Barrels Script.html;/scripts/Lock,-Stock-and-Two-Smoking-Barrels.html
Logan;Scott Frank,James Mangold,Michael Green;/Movie Scripts/Logan Script.html;/scripts/Logan.html
Logan's Run;David Zelgan Goodman;/Movie Scripts/Logan's Run Script.html;/scripts/Logan's-Run.html
Lone Star;John Sayles;/Movie Scripts/Lone Star Script.html;/scripts/Lone-Star.html
Long Kiss Goodnight, The;Shane Black;/Movie Scripts/Long Kiss Goodnight, The Script.html;/scripts/Long-Kiss-Goodnight,-The.html
Looper;Rian Johnson;/Movie Scripts/Looper Script.html;/scripts/Looper.html
Lord of Illusions;Clive Barker;/Movie Scripts/Lord of Illusions Script.html;/scripts/Lord-of-Illusions.html
Lord of the Rings: Fellowship of the Ring, The;Frances Walsh,Philippa Boyens,Peter Jackson;/Movie Scripts/Lord of the Rings: Fellowship of the Ring, The Script.html;/scripts/Lord-of-the-Rings-Fellowship-of-the-Ring,-The.html
Lord of the Rings: Return of the King;Peter Jackson,Fran Walsh,Philippa Boyens;/Movie Scripts/Lord of the Rings: Return of the King Script.html;/scripts/Lord-of-the-Rings-Return-of-the-King.html
Lord of the Rings: The Two Towers;Peter Jackson,Fran Walsh,Philippa Boyens;/Movie Scripts/Lord of the Rings: The Two Towers Script.html;/scripts/Lord-of-the-Rings-The-Two-Towers.html
Lord of War;Andrew Niccol;/Movie Scripts/Lord of War Script.html;/scripts/Lord-of-War.html
Losers, The;Peter Berg,James Vanderbilt;/Movie Scripts/Losers, The Script.html;/scripts/Losers,-The.html
Lost Highway;David Lynch,Barry Gifford;/Movie Scripts/Lost Highway Script.html;/scripts/Lost-Highway.html
Lost Horizon;James Hilton,Robert Riskin;/Movie Scripts/Lost Horizon Script.html;/scripts/Lost-Horizon.html
Lost in Space;Irwin Allen,Akiva Goldsman;/Movie Scripts/Lost in Space Script.html;/scripts/Lost-in-Space.html
Lost in Translation;Sofia Coppola;/Movie Scripts/Lost in Translation Script.html;/scripts/Lost-in-Translation.html
Love and Basketball;Gina Prince-Bythewood;/Movie Scripts/Love and Basketball Script.html;/scripts/Love-and-Basketball.html
Machete;Robert Rodriguez;/Movie Scripts/Machete Script.html;/scripts/Machete.html
Machine Gun Preacher;Jason Keller;/Movie Scripts/Machine Gun Preacher Script.html;/scripts/Machine-Gun-Preacher.html
Mad Max 2: The Road Warrior;Terry Hayes,George Miller,Brian Hannant;/Movie Scripts/Mad Max 2: The Road Warrior Script.html;/scripts/Mad-Max-2-The-Road-Warrior.html
Made;Jon Favreau;/Movie Scripts/Made Script.html;/scripts/Made.html
Magnolia;Paul Thomas Anderson;/Movie Scripts/Magnolia Script.html;/scripts/Magnolia.html
Majestic, The (The Bijou);Michael Slone;/Movie Scripts/Majestic, The (The Bijou) Script.html;/scripts/Majestic,-The-(The-Bijou).html
Major League;David S. Ward;/Movie Scripts/Major League Script.html;/scripts/Major-League.html
Malcolm X;Spike Lee,Arnold Perl;/Movie Scripts/Malcolm X Script.html;/scripts/Malcolm-X.html
Malibu's Most Wanted;Fax Bahr,Adam Small,Jamie Kennedy,Nick Swardson;/Movie Scripts/Malibu's Most Wanted Script.html;/scripts/Malibu's-Most-Wanted.html
Man in the Iron Mask;Randall Wallace;/Movie Scripts/Man in the Iron Mask Script.html;/scripts/Man-in-the-Iron-Mask.html
Man On Fire;Brian Helgeland;/Movie Scripts/Man On Fire Script.html;/scripts/Man-On-Fire.html
Man on the Moon;Scott Alexander,Larry Karaszewski;/Movie Scripts/Man on the Moon Script.html;/scripts/Man-on-the-Moon.html
Man Trouble;Carole Eastman;/Movie Scripts/Man Trouble Script.html;/scripts/Man-Trouble.html
Man Who Knew Too Much, The;John Michael Hayes;/Movie Scripts/Man Who Knew Too Much, The Script.html;/scripts/Man-Who-Knew-Too-Much,-The.html
Man Who Wasn't There, The;Joel Coen,Ethan Coen;/Movie Scripts/Man Who Wasn't There, The Script.html;/scripts/Man-Who-Wasn't-There,-The.html
Manchurian Candidate, The;Richard Condon,George Axelrod,Dean Georgaris;/Movie Scripts/Manchurian Candidate, The Script.html;/scripts/Manchurian-Candidate,-The.html
Manhattan Murder Mystery;Woody Allen,Marshall Brickman;/Movie Scripts/Manhattan Murder Mystery Script.html;/scripts/Manhattan-Murder-Mystery.html
Manhunter;Thomas Harris,Michael Mann;/Movie Scripts/Manhunter Script.html;/scripts/Manhunter.html
