Title;Authors;IMSDb Page;IMSDb Script Page
Antitrust;Howard Franklin;/Movie Scripts/Antitrust Script.html;/scripts/Antitrust.html
Antz;Todd Alcott,Chris Weitz,Paul Weitz;/Movie Scripts/Antz Script.html;/scripts/Antz.html
Apartment, The;Billy Wilder,I.A.L Diamond;/Movie Scripts/Apartment, The Script.html;/scripts/Apartment,-The.html
Apocalypse Now;Francis Ford Coppola,John Milius,Joseph Conrad;/Movie Scripts/Apocalypse Now Script.html;/scripts/Apocalypse-Now.html
Apollo 13;Jim Lovell,Jeffrey Kluger,William Broyles Jr.,Al Reinert;/Movie Scripts/Apollo 13 Script.html;/scripts/Apollo-13.html
April Fool's Day;Danilo Bach;/Movie Scripts/April Fool's Day Script.html;/scripts/April-Fool's-Day.html
Apt Pupil;Brandon Boyce;/Movie Scripts/Apt Pupil Script.html;/scripts/Apt-Pupil.html
Arbitrage;Nicholas Jarecki;/Movie Scripts/Arbitrage Script.html;/scripts/Arbitrage.html
Arcade;David S. Goyer;/Movie Scripts/Arcade Script.html;/scripts/Arcade.html
Arctic Blue;Ross LaManna;/Movie Scripts/Arctic Blue Script.html;/scripts/Arctic-Blue.html
Argo;Chris Terrio;/Movie Scripts/Argo Script.html;/scripts/Argo.html
Armageddon;Jonathan Hensleigh,J.J. Abrams;/Movie Scripts/Armageddon Script.html;/scripts/Armageddon.html
Army of Darkness;Sam Raimi,Ivan Raimi;/Movie Scripts/Army of Darkness Script.html;/scripts/Army-of-Darkness.html
Arsenic and Old Lace;Julius J. Epstein,Philip G. Epstein,Joseph Kesselring;/Movie Scripts/Arsenic and Old Lace Script.html;/scripts/Arsenic-and-Old-Lace.html
Arthur;Peter Baynham;/Movie Scripts/Arthur Script.html;/scripts/Arthur.html
Artist, The;Michel Hazanavicius;/Movie Scripts/Artist, The Script.html;/scripts/Artist,-The.html
As Good As It Gets;Mark Andrus,James L. Brooks;/Movie Scripts/As Good As It Gets Script.html;/scripts/As-Good-As-It-Gets.html
Assassins;Larry Wachowski,Andy Wachowski;/Movie Scripts/Assassins Script.html;/scripts/Assassins.html
Assignment, The;Dan Gordon,Sabi H. Shabtai;/Movie Scripts/Assignment, The Script.html;/scripts/Assignment,-The.html
At First Sight;Oliver Sacks,Steve Levitt,Irwin Winkler,Rob Cowan;/Movie Scripts/At First Sight Script.html;/scripts/At-First-Sight.html
August: Osage County;Tracy Letts;/Movie Scripts/August: Osage County Script.html;/scripts/August-Osage-County.html
Austin Powers - International Man of Mystery;Mike Myers;/Movie Scripts/Austin Powers - International Man of Mystery Script.html;/scripts/Austin-Powers---International-Man-of-Mystery.html
